2020-01-09 18:08:16.828  INFO 29050 --- [http-nio-8761-exec-2] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2020-01-09 18:08:16.832  INFO 29050 --- [http-nio-8761-exec-2] o.s.web.servlet.DispatcherServlet        : Completed initialization in 4 ms
2020-01-09 18:08:16.852  WARN 29050 --- [http-nio-8761-exec-1] c.n.e.registry.AbstractInstanceRegistry  : DS: Registry: lease doesn't exist, registering resource: GATEWAY - 192.168.10.67:gateway:8085
2020-01-09 18:08:16.852  WARN 29050 --- [http-nio-8761-exec-1] c.n.eureka.resources.InstanceResource    : Not Found (Renew): GATEWAY - 192.168.10.67:gateway:8085
2020-01-09 18:08:16.891  INFO 29050 --- [http-nio-8761-exec-3] c.n.e.registry.AbstractInstanceRegistry  : Registered instance GATEWAY/192.168.10.67:gateway:8085 with status UP (replication=false)
2020-01-09 18:08:17.488  INFO 29050 --- [http-nio-8761-exec-5] c.n.e.registry.AbstractInstanceRegistry  : Registered instance GATEWAY/192.168.10.67:gateway:8085 with status UP (replication=true)
2020-01-09 18:08:18.954  INFO 29050 --- [http-nio-8761-exec-6] c.n.e.registry.AbstractInstanceRegistry  : Registered instance GATEWAY/192.168.10.67:gateway:8085 with status DOWN (replication=false)
2020-01-09 18:08:19.467  INFO 29050 --- [http-nio-8761-exec-7] c.n.e.registry.AbstractInstanceRegistry  : Registered instance GATEWAY/192.168.10.67:gateway:8085 with status DOWN (replication=true)
2020-01-09 18:08:21.977  INFO 29050 --- [http-nio-8761-exec-8] c.n.e.registry.AbstractInstanceRegistry  : Cancelled instance GATEWAY/192.168.10.67:gateway:8085 (replication=false)
2020-01-09 18:08:22.490  WARN 29050 --- [http-nio-8761-exec-1] c.n.e.registry.AbstractInstanceRegistry  : DS: Registry: cancel failed because Lease is not registered for: GATEWAY/192.168.10.67:gateway:8085
2020-01-09 18:08:22.490  INFO 29050 --- [http-nio-8761-exec-1] c.n.eureka.resources.InstanceResource    : Not Found (Cancel): GATEWAY - 192.168.10.67:gateway:8085
2020-01-09 18:08:22.491  WARN 29050 --- [TaskBatchingWorker-target_localhost-12] c.n.eureka.cluster.ReplicationTask       : The replication of task GATEWAY/192.168.10.67:gateway:8085:Cancel@localhost failed with response code 404
2020-01-09 18:08:22.492  WARN 29050 --- [TaskBatchingWorker-target_localhost-12] c.netflix.eureka.cluster.PeerEurekaNode  : GATEWAY/192.168.10.67:gateway:8085:Cancel@localhost: missing entry.
2020-01-09 18:08:27.954  INFO 29050 --- [http-nio-8761-exec-4] c.n.e.registry.AbstractInstanceRegistry  : Registered instance GATEWAY/192.168.10.67:gateway:8085 with status UP (replication=false)
2020-01-09 18:08:28.466  INFO 29050 --- [http-nio-8761-exec-3] c.n.e.registry.AbstractInstanceRegistry  : Registered instance GATEWAY/192.168.10.67:gateway:8085 with status UP (replication=true)
2020-01-09 18:08:28.920  WARN 29050 --- [http-nio-8761-exec-5] c.n.e.registry.AbstractInstanceRegistry  : DS: Registry: lease doesn't exist, registering resource: TRACKER - 192.168.10.67:tracker:8082
2020-01-09 18:08:28.921  WARN 29050 --- [http-nio-8761-exec-5] c.n.eureka.resources.InstanceResource    : Not Found (Renew): TRACKER - 192.168.10.67:tracker:8082
2020-01-09 18:08:28.939  INFO 29050 --- [http-nio-8761-exec-7] c.n.e.registry.AbstractInstanceRegistry  : Registered instance TRACKER/192.168.10.67:tracker:8082 with status UP (replication=false)
2020-01-09 18:08:29.457  INFO 29050 --- [http-nio-8761-exec-9] c.n.e.registry.AbstractInstanceRegistry  : Registered instance TRACKER/192.168.10.67:tracker:8082 with status UP (replication=true)
2020-01-09 18:08:57.872  INFO 29050 --- [http-nio-8761-exec-10] c.n.e.registry.AbstractInstanceRegistry  : Registered instance TRACKER/192.168.10.67:tracker:8082 with status DOWN (replication=false)
2020-01-09 18:08:57.878  INFO 29050 --- [http-nio-8761-exec-1] c.n.e.registry.AbstractInstanceRegistry  : Cancelled instance TRACKER/192.168.10.67:tracker:8082 (replication=false)
2020-01-09 18:08:58.383  INFO 29050 --- [http-nio-8761-exec-6] c.n.e.registry.AbstractInstanceRegistry  : Registered instance TRACKER/192.168.10.67:tracker:8082 with status DOWN (replication=true)
2020-01-09 18:08:58.383  INFO 29050 --- [http-nio-8761-exec-6] c.n.e.registry.AbstractInstanceRegistry  : Cancelled instance TRACKER/192.168.10.67:tracker:8082 (replication=true)
2020-01-09 18:09:02.652  INFO 29050 --- [http-nio-8761-exec-7] c.n.e.registry.AbstractInstanceRegistry  : Registered instance TRACKER/192.168.10.67:tracker:8082 with status UP (replication=false)
2020-01-09 18:09:03.168  INFO 29050 --- [http-nio-8761-exec-9] c.n.e.registry.AbstractInstanceRegistry  : Registered instance TRACKER/192.168.10.67:tracker:8082 with status UP (replication=true)
2020-01-09 18:09:08.480  INFO 29050 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2020-01-09 18:10:08.480  INFO 29050 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2020-01-09 18:11:08.480  INFO 29050 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2020-01-09 18:12:08.480  INFO 29050 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2020-01-09 18:12:26.821  INFO 29050 --- [http-nio-8761-exec-8] c.n.e.registry.AbstractInstanceRegistry  : Registered instance TRACKER/192.168.10.67:tracker:8082 with status DOWN (replication=false)
2020-01-09 18:12:26.827  INFO 29050 --- [http-nio-8761-exec-7] c.n.e.registry.AbstractInstanceRegistry  : Cancelled instance TRACKER/192.168.10.67:tracker:8082 (replication=false)
2020-01-09 18:12:27.327  INFO 29050 --- [http-nio-8761-exec-10] c.n.e.registry.AbstractInstanceRegistry  : Registered instance TRACKER/192.168.10.67:tracker:8082 with status DOWN (replication=true)
2020-01-09 18:12:27.328  INFO 29050 --- [http-nio-8761-exec-10] c.n.e.registry.AbstractInstanceRegistry  : Cancelled instance TRACKER/192.168.10.67:tracker:8082 (replication=true)
2020-01-09 18:12:30.533  INFO 29050 --- [http-nio-8761-exec-3] c.n.e.registry.AbstractInstanceRegistry  : Registered instance GATEWAY/192.168.10.67:gateway:8085 with status DOWN (replication=false)
